0,0.00027778,0,0,0,0.00018519,9.2593e-05,0,0,0.00018519,0.00018519,0,0,0.00027778,0.00046296,0
NaN,0.17267,NaN,NaN,NaN,0.0475,0.004,NaN,NaN,0.0555,0.1395,NaN,NaN,0.27567,0.168,NaN
0,4.7963e-05,0,0,0,8.7963e-06,3.7037e-07,0,0,1.0278e-05,2.5833e-05,0,0,7.6574e-05,7.7778e-05,0
6,3,4,12,6,3,4,12,6,3,4,12,6,3,4,12
6,3,4,12,6,3,4,12,5,3,3,11,5,3,3,11
